Nom;Poste;Date;Vitesse_m.s-1
Piton-Bloc;97405420;25/04/2016;0.9
Piton-Bloc;97405420;26/04/2016;1.3
Piton-Bloc;97405420;27/04/2016;1.1
Piton-Bloc;97405420;28/04/2016;0.7
Piton-Bloc;97405420;29/04/2016;0.8
Piton-Bloc;97405420;30/04/2016;1.0
Piton-Bloc;97405420;01/05/2016;1.0
Piton-Bloc;97405420;02/05/2016;0.6
Piton-Bloc;97405420;03/05/2016;0.3
Piton-Bloc;97405420;04/05/2016;0.4
Piton-Bloc;97405420;05/05/2016;1.0
Piton-Bloc;97405420;06/05/2016;0.5
Piton-Bloc;97405420;07/05/2016;0.9
Piton-Bloc;97405420;08/05/2016;0.8
Piton-Bloc;97405420;09/05/2016;1.6
Piton-Bloc;97405420;10/05/2016;3.1
Piton-Bloc;97405420;11/05/2016;2.7
Piton-Bloc;97405420;12/05/2016;2.7
Piton-Bloc;97405420;13/05/2016;3.3
Piton-Bloc;97405420;14/05/2016;2.5
Piton-Bloc;97405420;15/05/2016;2.8
Piton-Bloc;97405420;16/05/2016;1.8
Piton-Bloc;97405420;17/05/2016;0.8
Piton-Bloc;97405420;18/05/2016;1.2
Piton-Bloc;97405420;19/05/2016;1.7
Piton-Bloc;97405420;20/05/2016;2.0
Piton-Bloc;97405420;21/05/2016;1.2
Piton-Bloc;97405420;22/05/2016;0.9
Piton-Bloc;97405420;23/05/2016;1.6
Piton-Bloc;97405420;24/05/2016;2.5
Piton-Bloc;97405420;25/05/2016;2.2
Piton-Bloc;97405420;26/05/2016;1.5
Piton-Bloc;97405420;27/05/2016;2.3
Piton-Bloc;97405420;28/05/2016;0.9
Piton-Bloc;97405420;29/05/2016;1.2
Piton-Bloc;97405420;30/05/2016;0.7
Piton-Bloc;97405420;31/05/2016;1.5
Piton-Bloc;97405420;01/06/2016;3.0
Piton-Bloc;97405420;02/06/2016;1.8
Piton-Bloc;97405420;03/06/2016;1.5
Piton-Bloc;97405420;04/06/2016;0.8
Piton-Bloc;97405420;05/06/2016;0.6
Piton-Bloc;97405420;06/06/2016;0.8
Piton-Bloc;97405420;07/06/2016;1.1
Piton-Bloc;97405420;08/06/2016;1.0
Piton-Bloc;97405420;09/06/2016;2.1
Piton-Bloc;97405420;10/06/2016;1.0
Piton-Bloc;97405420;11/06/2016;0.9
Piton-Bloc;97405420;12/06/2016;0.7
Piton-Bloc;97405420;13/06/2016;1.2
Piton-Bloc;97405420;14/06/2016;1.8
Piton-Bloc;97405420;15/06/2016;2.0
Piton-Bloc;97405420;16/06/2016;1.0
Piton-Bloc;97405420;17/06/2016;1.6
Piton-Bloc;97405420;18/06/2016;1.1
Piton-Bloc;97405420;19/06/2016;1.3
Piton-Bloc;97405420;20/06/2016;1.4
Piton-Bloc;97405420;21/06/2016;1.8
Piton-Bloc;97405420;22/06/2016;1.1
Piton-Bloc;97405420;23/06/2016;1.1
Piton-Bloc;97405420;24/06/2016;1.9
Piton-Bloc;97405420;25/06/2016;2.3
Piton-Bloc;97405420;26/06/2016;2.5
Piton-Bloc;97405420;27/06/2016;2.1
Piton-Bloc;97405420;28/06/2016;1.7
Piton-Bloc;97405420;29/06/2016;1.2
Piton-Bloc;97405420;30/06/2016;1.2
Piton-Bloc;97405420;01/07/2016;1.8
Piton-Bloc;97405420;02/07/2016;1.8
Piton-Bloc;97405420;03/07/2016;1.0
Piton-Bloc;97405420;04/07/2016;1.0
