Nom;Poste;Date;Vitesse_ms
Ravine des Cabris;97416410;01/01/2016;0.4
Ravine des Cabris;97416410;02/01/2016;1.3
Ravine des Cabris;97416410;03/01/2016;0.6
Ravine des Cabris;97416410;04/01/2016;0.7
Ravine des Cabris;97416410;05/01/2016;0.9
Ravine des Cabris;97416410;06/01/2016;1.3
Ravine des Cabris;97416410;07/01/2016;0.8
Ravine des Cabris;97416410;08/01/2016;0.4
Ravine des Cabris;97416410;09/01/2016;0.5
Ravine des Cabris;97416410;10/01/2016;0.3
Ravine des Cabris;97416410;11/01/2016;0.4
Ravine des Cabris;97416410;12/01/2016;0.8
Ravine des Cabris;97416410;13/01/2016;0.3
Ravine des Cabris;97416410;14/01/2016;0.2
Ravine des Cabris;97416410;15/01/2016;0.5
Ravine des Cabris;97416410;16/01/2016;0.5
Ravine des Cabris;97416410;17/01/2016;0.7
Ravine des Cabris;97416410;18/01/2016;0.5
Ravine des Cabris;97416410;19/01/2016;0.1
Ravine des Cabris;97416410;20/01/2016;0.5
Ravine des Cabris;97416410;21/01/2016;0.5
Ravine des Cabris;97416410;22/01/2016;0.6
Ravine des Cabris;97416410;23/01/2016;0.8
Ravine des Cabris;97416410;24/01/2016;0.4
Ravine des Cabris;97416410;25/01/2016;0.6
Ravine des Cabris;97416410;26/01/2016;0.5
Ravine des Cabris;97416410;27/01/2016;0.5
Ravine des Cabris;97416410;28/01/2016;0.9
Ravine des Cabris;97416410;29/01/2016;1.0
Ravine des Cabris;97416410;30/01/2016;0.7
Ravine des Cabris;97416410;31/01/2016;1.0
Ravine des Cabris;97416410;01/02/2016;1.0
Ravine des Cabris;97416410;02/02/2016;0.6
Ravine des Cabris;97416410;03/02/2016;0.6
Ravine des Cabris;97416410;04/02/2016;0.675
Ravine des Cabris;97416410;05/02/2016;0.75
Ravine des Cabris;97416410;06/02/2016;0.825
Ravine des Cabris;97416410;07/02/2016;0.9
Ravine des Cabris;97416410;08/02/2016;1.9
Ravine des Cabris;97416410;09/02/2016;1.0
Ravine des Cabris;97416410;10/02/2016;0.2
Ravine des Cabris;97416410;11/02/2016;0.30000000000000004
Ravine des Cabris;97416410;12/02/2016;0.4
Ravine des Cabris;97416410;13/02/2016;0.4
Ravine des Cabris;97416410;14/02/2016;0.3
Ravine des Cabris;97416410;15/02/2016;0.2
Ravine des Cabris;97416410;16/02/2016;0.4
Ravine des Cabris;97416410;17/02/2016;1.0
Ravine des Cabris;97416410;18/02/2016;0.8
Ravine des Cabris;97416410;19/02/2016;0.4
Ravine des Cabris;97416410;20/02/2016;0.3
Ravine des Cabris;97416410;21/02/2016;0.9
Ravine des Cabris;97416410;22/02/2016;1.0
Ravine des Cabris;97416410;23/02/2016;1.0
Ravine des Cabris;97416410;24/02/2016;0.6
Ravine des Cabris;97416410;25/02/2016;0.3
Ravine des Cabris;97416410;26/02/2016;0.8
Ravine des Cabris;97416410;27/02/2016;0.5
Ravine des Cabris;97416410;28/02/2016;1.4
Ravine des Cabris;97416410;29/02/2016;0.7
Ravine des Cabris;97416410;01/03/2016;0.6
Ravine des Cabris;97416410;02/03/2016;0.6294117647058823
Ravine des Cabris;97416410;03/03/2016;0.6588235294117647
Ravine des Cabris;97416410;04/03/2016;0.6882352941176471
Ravine des Cabris;97416410;05/03/2016;0.7176470588235294
Ravine des Cabris;97416410;06/03/2016;0.7470588235294118
Ravine des Cabris;97416410;07/03/2016;0.7764705882352941
Ravine des Cabris;97416410;08/03/2016;0.8058823529411765
Ravine des Cabris;97416410;09/03/2016;0.8352941176470589
Ravine des Cabris;97416410;10/03/2016;0.8647058823529412
Ravine des Cabris;97416410;11/03/2016;0.8941176470588236
Ravine des Cabris;97416410;12/03/2016;0.9235294117647059
Ravine des Cabris;97416410;13/03/2016;0.9529411764705883
Ravine des Cabris;97416410;14/03/2016;0.9823529411764707
Ravine des Cabris;97416410;15/03/2016;1.011764705882353
Ravine des Cabris;97416410;16/03/2016;1.0411764705882354
Ravine des Cabris;97416410;17/03/2016;1.0705882352941178
Ravine des Cabris;97416410;18/03/2016;1.1
Ravine des Cabris;97416410;19/03/2016;1.6
Ravine des Cabris;97416410;20/03/2016;1.1
Ravine des Cabris;97416410;21/03/2016;1.3
Ravine des Cabris;97416410;22/03/2016;1.1
Ravine des Cabris;97416410;23/03/2016;1.1
Ravine des Cabris;97416410;24/03/2016;0.9
Ravine des Cabris;97416410;25/03/2016;0.9
Ravine des Cabris;97416410;26/03/2016;0.5
Ravine des Cabris;97416410;27/03/2016;0.8
Ravine des Cabris;97416410;28/03/2016;0.8
Ravine des Cabris;97416410;29/03/2016;1.2
Ravine des Cabris;97416410;30/03/2016;1.3
Ravine des Cabris;97416410;31/03/2016;0.4
Ravine des Cabris;97416410;01/04/2016;0.1
Ravine des Cabris;97416410;02/04/2016;0.4
Ravine des Cabris;97416410;03/04/2016;0.5
Ravine des Cabris;97416410;04/04/2016;0.4
Ravine des Cabris;97416410;05/04/2016;0.7
Ravine des Cabris;97416410;06/04/2016;0.2
Ravine des Cabris;97416410;07/04/2016;1.0
Ravine des Cabris;97416410;08/04/2016;1.3
Ravine des Cabris;97416410;09/04/2016;1.3
Ravine des Cabris;97416410;10/04/2016;0.8
Ravine des Cabris;97416410;11/04/2016;0.5
Ravine des Cabris;97416410;12/04/2016;0.9
Ravine des Cabris;97416410;13/04/2016;1.0
Ravine des Cabris;97416410;14/04/2016;0.2
Ravine des Cabris;97416410;15/04/2016;0.9
Ravine des Cabris;97416410;16/04/2016;1.6
Ravine des Cabris;97416410;17/04/2016;1.0
Ravine des Cabris;97416410;18/04/2016;0.9
Ravine des Cabris;97416410;19/04/2016;1.2
Ravine des Cabris;97416410;20/04/2016;0.7
Ravine des Cabris;97416410;21/04/2016;1.0
Ravine des Cabris;97416410;22/04/2016;1.0
Ravine des Cabris;97416410;23/04/2016;1.1
Ravine des Cabris;97416410;24/04/2016;1.0
Ravine des Cabris;97416410;25/04/2016;1.3
Ravine des Cabris;97416410;26/04/2016;0.9
Ravine des Cabris;97416410;27/04/2016;1.1
Ravine des Cabris;97416410;28/04/2016;1.1
Ravine des Cabris;97416410;29/04/2016;1.1
Ravine des Cabris;97416410;30/04/2016;0.9
Ravine des Cabris;97416410;01/05/2016;1.1
Ravine des Cabris;97416410;02/05/2016;1.0
Ravine des Cabris;97416410;03/05/2016;0.2
Ravine des Cabris;97416410;04/05/2016;0.2
Ravine des Cabris;97416410;05/05/2016;0.3
Ravine des Cabris;97416410;06/05/2016;0.3
Ravine des Cabris;97416410;07/05/2016;0.7
Ravine des Cabris;97416410;08/05/2016;1.3
Ravine des Cabris;97416410;09/05/2016;1.5
Ravine des Cabris;97416410;10/05/2016;1.6
Ravine des Cabris;97416410;11/05/2016;1.4
Ravine des Cabris;97416410;12/05/2016;1.3
Ravine des Cabris;97416410;13/05/2016;1.1
Ravine des Cabris;97416410;14/05/2016;0.4
Ravine des Cabris;97416410;15/05/2016;0.45
Ravine des Cabris;97416410;16/05/2016;0.5
Ravine des Cabris;97416410;17/05/2016;0.2
Ravine des Cabris;97416410;18/05/2016;0.3
Ravine des Cabris;97416410;19/05/2016;0.9
Ravine des Cabris;97416410;20/05/2016;0.6
Ravine des Cabris;97416410;21/05/2016;0.5
Ravine des Cabris;97416410;22/05/2016;0.3
Ravine des Cabris;97416410;23/05/2016;0.8
Ravine des Cabris;97416410;24/05/2016;1.0
Ravine des Cabris;97416410;25/05/2016;0.8
Ravine des Cabris;97416410;26/05/2016;0.2
Ravine des Cabris;97416410;27/05/2016;0.4
Ravine des Cabris;97416410;28/05/2016;0.2
Ravine des Cabris;97416410;29/05/2016;0.4
Ravine des Cabris;97416410;30/05/2016;0.2
Ravine des Cabris;97416410;31/05/2016;0.2
Ravine des Cabris;97416410;01/06/2016;1.8
Ravine des Cabris;97416410;02/06/2016;0.5
Ravine des Cabris;97416410;03/06/2016;1.5
Ravine des Cabris;97416410;04/06/2016;0.1
Ravine des Cabris;97416410;05/06/2016;0.2
Ravine des Cabris;97416410;06/06/2016;0.3
Ravine des Cabris;97416410;07/06/2016;0.4
Ravine des Cabris;97416410;08/06/2016;0.4
Ravine des Cabris;97416410;09/06/2016;1.0
Ravine des Cabris;97416410;10/06/2016;0.3
Ravine des Cabris;97416410;11/06/2016;1.0
Ravine des Cabris;97416410;12/06/2016;1.0
Ravine des Cabris;97416410;13/06/2016;0.7
Ravine des Cabris;97416410;14/06/2016;0.6
Ravine des Cabris;97416410;15/06/2016;0.4
Ravine des Cabris;97416410;16/06/2016;0.1
Ravine des Cabris;97416410;17/06/2016;0.2
Ravine des Cabris;97416410;18/06/2016;0.2
