Nom;Poste;Date;Vitesse_ms
Saint-Leu - CIRAD;97413545;01/01/2016;3.0
Saint-Leu - CIRAD;97413545;02/01/2016;2.0
Saint-Leu - CIRAD;97413545;03/01/2016;2.7
Saint-Leu - CIRAD;97413545;04/01/2016;3.1
Saint-Leu - CIRAD;97413545;05/01/2016;3.4
Saint-Leu - CIRAD;97413545;06/01/2016;2.7
Saint-Leu - CIRAD;97413545;07/01/2016;1.2
Saint-Leu - CIRAD;97413545;08/01/2016;0.9
Saint-Leu - CIRAD;97413545;09/01/2016;1.0
Saint-Leu - CIRAD;97413545;10/01/2016;1.0
Saint-Leu - CIRAD;97413545;11/01/2016;1.3
Saint-Leu - CIRAD;97413545;12/01/2016;1.6
Saint-Leu - CIRAD;97413545;13/01/2016;1.1
Saint-Leu - CIRAD;97413545;14/01/2016;0.8
Saint-Leu - CIRAD;97413545;15/01/2016;1.2
Saint-Leu - CIRAD;97413545;16/01/2016;1.3
Saint-Leu - CIRAD;97413545;17/01/2016;1.4
Saint-Leu - CIRAD;97413545;18/01/2016;1.2
Saint-Leu - CIRAD;97413545;19/01/2016;1.0
Saint-Leu - CIRAD;97413545;20/01/2016;1.3
Saint-Leu - CIRAD;97413545;21/01/2016;1.5
Saint-Leu - CIRAD;97413545;22/01/2016;1.0
Saint-Leu - CIRAD;97413545;23/01/2016;1.8
Saint-Leu - CIRAD;97413545;24/01/2016;1.7
Saint-Leu - CIRAD;97413545;25/01/2016;1.2
Saint-Leu - CIRAD;97413545;26/01/2016;1.3
Saint-Leu - CIRAD;97413545;27/01/2016;1.0
Saint-Leu - CIRAD;97413545;28/01/2016;1.9
Saint-Leu - CIRAD;97413545;29/01/2016;2.4
Saint-Leu - CIRAD;97413545;30/01/2016;3.1
Saint-Leu - CIRAD;97413545;31/01/2016;2.5
Saint-Leu - CIRAD;97413545;01/02/2016;1.6
Saint-Leu - CIRAD;97413545;02/02/2016;1.4
Saint-Leu - CIRAD;97413545;03/02/2016;1.2
Saint-Leu - CIRAD;97413545;04/02/2016;1.0
Saint-Leu - CIRAD;97413545;05/02/2016;0.8
Saint-Leu - CIRAD;97413545;06/02/2016;1.1
Saint-Leu - CIRAD;97413545;07/02/2016;0.8
Saint-Leu - CIRAD;97413545;08/02/2016;0.7
Saint-Leu - CIRAD;97413545;09/02/2016;1.1
Saint-Leu - CIRAD;97413545;10/02/2016;1.7
Saint-Leu - CIRAD;97413545;11/02/2016;2.5
Saint-Leu - CIRAD;97413545;12/02/2016;1.1
Saint-Leu - CIRAD;97413545;13/02/2016;0.9
Saint-Leu - CIRAD;97413545;14/02/2016;0.9
Saint-Leu - CIRAD;97413545;15/02/2016;1.2
Saint-Leu - CIRAD;97413545;16/02/2016;1.2
Saint-Leu - CIRAD;97413545;17/02/2016;1.1
Saint-Leu - CIRAD;97413545;18/02/2016;1.0
Saint-Leu - CIRAD;97413545;19/02/2016;1.6
Saint-Leu - CIRAD;97413545;20/02/2016;1.3
Saint-Leu - CIRAD;97413545;21/02/2016;1.1
Saint-Leu - CIRAD;97413545;22/02/2016;1.2
Saint-Leu - CIRAD;97413545;23/02/2016;1.1
Saint-Leu - CIRAD;97413545;24/02/2016;1.3
Saint-Leu - CIRAD;97413545;25/02/2016;1.3
Saint-Leu - CIRAD;97413545;26/02/2016;1.0
Saint-Leu - CIRAD;97413545;27/02/2016;1.4
Saint-Leu - CIRAD;97413545;28/02/2016;1.8
Saint-Leu - CIRAD;97413545;29/02/2016;1.3
Saint-Leu - CIRAD;97413545;01/03/2016;1.0
Saint-Leu - CIRAD;97413545;02/03/2016;0.8
Saint-Leu - CIRAD;97413545;03/03/2016;0.9
Saint-Leu - CIRAD;97413545;04/03/2016;1.0
Saint-Leu - CIRAD;97413545;05/03/2016;0.9
Saint-Leu - CIRAD;97413545;06/03/2016;1.2
Saint-Leu - CIRAD;97413545;07/03/2016;0.8
Saint-Leu - CIRAD;97413545;08/03/2016;0.7
Saint-Leu - CIRAD;97413545;09/03/2016;0.9
Saint-Leu - CIRAD;97413545;10/03/2016;0.7
Saint-Leu - CIRAD;97413545;11/03/2016;1.4
Saint-Leu - CIRAD;97413545;12/03/2016;1.4
Saint-Leu - CIRAD;97413545;13/03/2016;1.2
Saint-Leu - CIRAD;97413545;14/03/2016;0.9
Saint-Leu - CIRAD;97413545;15/03/2016;0.7
Saint-Leu - CIRAD;97413545;16/03/2016;1.2
Saint-Leu - CIRAD;97413545;17/03/2016;1.3
Saint-Leu - CIRAD;97413545;18/03/2016;1.8
Saint-Leu - CIRAD;97413545;19/03/2016;1.4
Saint-Leu - CIRAD;97413545;20/03/2016;1.0
Saint-Leu - CIRAD;97413545;21/03/2016;1.3
Saint-Leu - CIRAD;97413545;22/03/2016;1.0
Saint-Leu - CIRAD;97413545;23/03/2016;1.0
Saint-Leu - CIRAD;97413545;24/03/2016;0.9
Saint-Leu - CIRAD;97413545;25/03/2016;2.0
Saint-Leu - CIRAD;97413545;26/03/2016;2.0
Saint-Leu - CIRAD;97413545;27/03/2016;2.8
Saint-Leu - CIRAD;97413545;28/03/2016;2.1
Saint-Leu - CIRAD;97413545;29/03/2016;1.4
Saint-Leu - CIRAD;97413545;30/03/2016;1.1
Saint-Leu - CIRAD;97413545;31/03/2016;1.7
Saint-Leu - CIRAD;97413545;01/04/2016;1.2
Saint-Leu - CIRAD;97413545;02/04/2016;1.3
Saint-Leu - CIRAD;97413545;03/04/2016;1.1
Saint-Leu - CIRAD;97413545;04/04/2016;1.1
Saint-Leu - CIRAD;97413545;05/04/2016;1.4
Saint-Leu - CIRAD;97413545;06/04/2016;1.2
Saint-Leu - CIRAD;97413545;07/04/2016;2.4
Saint-Leu - CIRAD;97413545;08/04/2016;3.9
Saint-Leu - CIRAD;97413545;09/04/2016;3.5
Saint-Leu - CIRAD;97413545;10/04/2016;2.6
Saint-Leu - CIRAD;97413545;11/04/2016;2.6
Saint-Leu - CIRAD;97413545;12/04/2016;3.1
Saint-Leu - CIRAD;97413545;13/04/2016;1.9
Saint-Leu - CIRAD;97413545;14/04/2016;1.3
Saint-Leu - CIRAD;97413545;15/04/2016;1.2
Saint-Leu - CIRAD;97413545;16/04/2016;1.1
Saint-Leu - CIRAD;97413545;17/04/2016;1.3
Saint-Leu - CIRAD;97413545;18/04/2016;1.3
Saint-Leu - CIRAD;97413545;19/04/2016;1.5
Saint-Leu - CIRAD;97413545;20/04/2016;1.3
Saint-Leu - CIRAD;97413545;21/04/2016;1.3
Saint-Leu - CIRAD;97413545;22/04/2016;1.2
