Nom;Poste;Date;Vitesse_ms
Le Gol les Hauts;97414431;01/01/2016;1.1
Le Gol les Hauts;97414431;02/01/2016;1.3
Le Gol les Hauts;97414431;03/01/2016;1.0
Le Gol les Hauts;97414431;04/01/2016;0.3
Le Gol les Hauts;97414431;05/01/2016;1.6
Le Gol les Hauts;97414431;06/01/2016;1.5
Le Gol les Hauts;97414431;07/01/2016;1.0
Le Gol les Hauts;97414431;08/01/2016;0.5
Le Gol les Hauts;97414431;09/01/2016;0.7
Le Gol les Hauts;97414431;10/01/2016;0.4
Le Gol les Hauts;97414431;11/01/2016;0.3
Le Gol les Hauts;97414431;12/01/2016;0.7
Le Gol les Hauts;97414431;13/01/2016;0.9
Le Gol les Hauts;97414431;14/01/2016;0.5
Le Gol les Hauts;97414431;15/01/2016;0.3
Le Gol les Hauts;97414431;16/01/2016;0.6
Le Gol les Hauts;97414431;17/01/2016;0.8
Le Gol les Hauts;97414431;18/01/2016;0.8
Le Gol les Hauts;97414431;19/01/2016;0.4
Le Gol les Hauts;97414431;20/01/2016;0.9
Le Gol les Hauts;97414431;21/01/2016;0.6
Le Gol les Hauts;97414431;22/01/2016;0.8
Le Gol les Hauts;97414431;23/01/2016;1.0
Le Gol les Hauts;97414431;24/01/2016;1.0
Le Gol les Hauts;97414431;25/01/2016;0.9
Le Gol les Hauts;97414431;26/01/2016;0.8
Le Gol les Hauts;97414431;27/01/2016;0.7
Le Gol les Hauts;97414431;28/01/2016;0.8
Le Gol les Hauts;97414431;29/01/2016;0.2
Le Gol les Hauts;97414431;30/01/2016;0.3
Le Gol les Hauts;97414431;31/01/2016;0.5
Le Gol les Hauts;97414431;01/02/2016;0.1
Le Gol les Hauts;97414431;02/02/2016;0.1
Le Gol les Hauts;97414431;03/02/2016;0.2
Le Gol les Hauts;97414431;04/02/2016;0.7
Le Gol les Hauts;97414431;05/02/2016;0.3
Le Gol les Hauts;97414431;06/02/2016;0.6
Le Gol les Hauts;97414431;07/02/2016;0.4
Le Gol les Hauts;97414431;08/02/2016;0.8
