Nom;Poste;Date;Vitesse_ms
St Paul;97415511;01/01/2016;0.8
St Paul;97415511;02/01/2016;1.1
St Paul;97415511;03/01/2016;1.4
St Paul;97415511;04/01/2016;0.8
St Paul;97415511;05/01/2016;0.6
St Paul;97415511;06/01/2016;0.5
St Paul;97415511;07/01/2016;0.7
St Paul;97415511;08/01/2016;0.3
St Paul;97415511;09/01/2016;0.7
St Paul;97415511;10/01/2016;0.3
St Paul;97415511;11/01/2016;0.35
St Paul;97415511;12/01/2016;0.4
St Paul;97415511;13/01/2016;0.3
St Paul;97415511;14/01/2016;0.2
St Paul;97415511;15/01/2016;0.5
St Paul;97415511;16/01/2016;0.6
St Paul;97415511;17/01/2016;0.4
St Paul;97415511;18/01/2016;0.35
St Paul;97415511;19/01/2016;0.3
St Paul;97415511;20/01/2016;0.5
St Paul;97415511;21/01/2016;0.4
St Paul;97415511;22/01/2016;0.3
St Paul;97415511;23/01/2016;0.6
St Paul;97415511;24/01/2016;0.3
St Paul;97415511;25/01/2016;0.1
St Paul;97415511;26/01/2016;0.2
St Paul;97415511;27/01/2016;0.30000000000000004
St Paul;97415511;28/01/2016;0.4
St Paul;97415511;29/01/2016;0.5
St Paul;97415511;30/01/2016;0.4
St Paul;97415511;31/01/2016;0.6
St Paul;97415511;01/02/2016;0.6
St Paul;97415511;02/02/2016;0.4
St Paul;97415511;03/02/2016;0.7
St Paul;97415511;04/02/2016;0.5
St Paul;97415511;05/02/2016;0.43333333333333335
St Paul;97415511;06/02/2016;0.3666666666666667
St Paul;97415511;07/02/2016;0.3
St Paul;97415511;08/02/2016;0.2
St Paul;97415511;09/02/2016;0.6
St Paul;97415511;10/02/2016;0.1
St Paul;97415511;11/02/2016;0.13333333333333333
St Paul;97415511;12/02/2016;0.16666666666666666
St Paul;97415511;13/02/2016;0.19999999999999998
St Paul;97415511;14/02/2016;0.2333333333333333
St Paul;97415511;15/02/2016;0.26666666666666666
St Paul;97415511;16/02/2016;0.3
St Paul;97415511;17/02/2016;0.3
St Paul;97415511;18/02/2016;0.7
St Paul;97415511;19/02/2016;0.7
St Paul;97415511;20/02/2016;0.5
St Paul;97415511;21/02/2016;0.4
St Paul;97415511;22/02/2016;0.5
St Paul;97415511;23/02/2016;0.6
St Paul;97415511;24/02/2016;0.3
St Paul;97415511;25/02/2016;0.2
St Paul;97415511;26/02/2016;0.5
St Paul;97415511;27/02/2016;0.3
St Paul;97415511;28/02/2016;0.5
St Paul;97415511;29/02/2016;0.2
St Paul;97415511;01/03/2016;0.3
St Paul;97415511;02/03/2016;0.3
St Paul;97415511;03/03/2016;0.35
St Paul;97415511;04/03/2016;0.4
St Paul;97415511;05/03/2016;0.3
St Paul;97415511;06/03/2016;0.3
St Paul;97415511;07/03/2016;0.3
St Paul;97415511;08/03/2016;0.26666666666666666
St Paul;97415511;09/03/2016;0.23333333333333334
St Paul;97415511;10/03/2016;0.2
St Paul;97415511;11/03/2016;0.2
St Paul;97415511;12/03/2016;0.3
St Paul;97415511;13/03/2016;0.3
St Paul;97415511;14/03/2016;0.3
St Paul;97415511;15/03/2016;0.3
St Paul;97415511;16/03/2016;0.3
St Paul;97415511;17/03/2016;0.4
St Paul;97415511;18/03/2016;0.45
St Paul;97415511;19/03/2016;0.5
St Paul;97415511;20/03/2016;0.55
St Paul;97415511;21/03/2016;0.6
St Paul;97415511;22/03/2016;0.3
St Paul;97415511;23/03/2016;0.6
St Paul;97415511;24/03/2016;0.3
St Paul;97415511;25/03/2016;0.1
St Paul;97415511;26/03/2016;0.1
St Paul;97415511;27/03/2016;0.1
