Nom;Poste;Date;Vitesse_ms
Piton St Leu;97413580;15/05/2016;0.6
Piton St Leu;97413580;16/05/2016;0.6
Piton St Leu;97413580;17/05/2016;0.1
Piton St Leu;97413580;18/05/2016;0.4
Piton St Leu;97413580;19/05/2016;3.5
Piton St Leu;97413580;20/05/2016;3.6
Piton St Leu;97413580;21/05/2016;2.5
Piton St Leu;97413580;22/05/2016;2.4
Piton St Leu;97413580;23/05/2016;2.6
Piton St Leu;97413580;24/05/2016;1.3
Piton St Leu;97413580;25/05/2016;1.0
Piton St Leu;97413580;26/05/2016;0.4
Piton St Leu;97413580;27/05/2016;0.5
Piton St Leu;97413580;28/05/2016;0.3
Piton St Leu;97413580;29/05/2016;0.2
Piton St Leu;97413580;30/05/2016;0.1
Piton St Leu;97413580;31/05/2016;0.1
Piton St Leu;97413580;01/06/2016;1.2
Piton St Leu;97413580;02/06/2016;0.2
Piton St Leu;97413580;03/06/2016;0.2
Piton St Leu;97413580;04/06/2016;0.5
Piton St Leu;97413580;05/06/2016;0.5
Piton St Leu;97413580;06/06/2016;0.4
Piton St Leu;97413580;07/06/2016;1.5
Piton St Leu;97413580;08/06/2016;1.1666666666666667
Piton St Leu;97413580;09/06/2016;0.8333333333333334
Piton St Leu;97413580;10/06/2016;0.5
Piton St Leu;97413580;11/06/2016;0.4
Piton St Leu;97413580;12/06/2016;0.3
Piton St Leu;97413580;13/06/2016;0.6
Piton St Leu;97413580;14/06/2016;2.2
Piton St Leu;97413580;15/06/2016;1.8
Piton St Leu;97413580;16/06/2016;1.1
Piton St Leu;97413580;17/06/2016;0.9
Piton St Leu;97413580;18/06/2016;1.2
Piton St Leu;97413580;19/06/2016;0.8
Piton St Leu;97413580;20/06/2016;0.3
Piton St Leu;97413580;21/06/2016;0.23333333333333334
Piton St Leu;97413580;22/06/2016;0.16666666666666669
Piton St Leu;97413580;23/06/2016;0.1
Piton St Leu;97413580;24/06/2016;0.16666666666666669
Piton St Leu;97413580;25/06/2016;0.23333333333333334
Piton St Leu;97413580;26/06/2016;0.3
Piton St Leu;97413580;27/06/2016;0.3
Piton St Leu;97413580;28/06/2016;0.7
Piton St Leu;97413580;29/06/2016;1.3
Piton St Leu;97413580;30/06/2016;1.5
Piton St Leu;97413580;01/07/2016;2.8
Piton St Leu;97413580;02/07/2016;0.2
