Nom;Poste;Date;Vitesse_ms
Le Tampon PK13;97422465;01/01/2016;0.7
Le Tampon PK13;97422465;02/01/2016;0.5
Le Tampon PK13;97422465;03/01/2016;0.4
Le Tampon PK13;97422465;04/01/2016;1.0
Le Tampon PK13;97422465;05/01/2016;0.9
Le Tampon PK13;97422465;06/01/2016;1.0
Le Tampon PK13;97422465;07/01/2016;0.8
Le Tampon PK13;97422465;08/01/2016;0.1
Le Tampon PK13;97422465;09/01/2016;0.9
Le Tampon PK13;97422465;10/01/2016;0.7666666666666667
Le Tampon PK13;97422465;11/01/2016;0.6333333333333333
Le Tampon PK13;97422465;12/01/2016;0.5
Le Tampon PK13;97422465;13/01/2016;0.1
Le Tampon PK13;97422465;14/01/2016;0.1
Le Tampon PK13;97422465;15/01/2016;0.4
Le Tampon PK13;97422465;16/01/2016;0.5
Le Tampon PK13;97422465;17/01/2016;0.5
Le Tampon PK13;97422465;18/01/2016;0.7
Le Tampon PK13;97422465;19/01/2016;0.1
Le Tampon PK13;97422465;20/01/2016;0.5
Le Tampon PK13;97422465;21/01/2016;0.5
Le Tampon PK13;97422465;22/01/2016;0.6
Le Tampon PK13;97422465;23/01/2016;0.3
Le Tampon PK13;97422465;24/01/2016;0.5
Le Tampon PK13;97422465;25/01/2016;0.5
Le Tampon PK13;97422465;26/01/2016;0.7
Le Tampon PK13;97422465;27/01/2016;1.0
Le Tampon PK13;97422465;28/01/2016;0.8
Le Tampon PK13;97422465;29/01/2016;1.0
Le Tampon PK13;97422465;30/01/2016;0.8
Le Tampon PK13;97422465;31/01/2016;0.7
Le Tampon PK13;97422465;01/02/2016;0.8
Le Tampon PK13;97422465;02/02/2016;0.7
Le Tampon PK13;97422465;03/02/2016;1.3
Le Tampon PK13;97422465;04/02/2016;1.5
Le Tampon PK13;97422465;05/02/2016;0.8
Le Tampon PK13;97422465;06/02/2016;0.8
Le Tampon PK13;97422465;07/02/2016;0.1
Le Tampon PK13;97422465;08/02/2016;1.2
Le Tampon PK13;97422465;09/02/2016;1.8
Le Tampon PK13;97422465;10/02/2016;0.1
Le Tampon PK13;97422465;11/02/2016;0.3
Le Tampon PK13;97422465;12/02/2016;0.5
Le Tampon PK13;97422465;13/02/2016;0.7
Le Tampon PK13;97422465;14/02/2016;0.1
Le Tampon PK13;97422465;15/02/2016;0.2
Le Tampon PK13;97422465;16/02/2016;0.5
Le Tampon PK13;97422465;17/02/2016;0.4
