Nom;Poste;Date;Vitesse_ms
St-Joseph;97412384;01/01/2016;0.8
St-Joseph;97412384;02/01/2016;3.2
St-Joseph;97412384;03/01/2016;2.0
St-Joseph;97412384;04/01/2016;0.7
St-Joseph;97412384;05/01/2016;1.3
St-Joseph;97412384;06/01/2016;2.4
St-Joseph;97412384;07/01/2016;3.5
St-Joseph;97412384;08/01/2016;3.0
St-Joseph;97412384;09/01/2016;3.9
St-Joseph;97412384;10/01/2016;1.1
St-Joseph;97412384;11/01/2016;0.1
St-Joseph;97412384;12/01/2016;1.7
St-Joseph;97412384;13/01/2016;2.9
St-Joseph;97412384;14/01/2016;3.2
St-Joseph;97412384;15/01/2016;2.6
St-Joseph;97412384;16/01/2016;1.2
St-Joseph;97412384;17/01/2016;1.1
St-Joseph;97412384;18/01/2016;1.1
St-Joseph;97412384;19/01/2016;0.6
St-Joseph;97412384;20/01/2016;1.1
St-Joseph;97412384;21/01/2016;0.9
St-Joseph;97412384;22/01/2016;0.9
St-Joseph;97412384;23/01/2016;1.7
St-Joseph;97412384;24/01/2016;1.9
St-Joseph;97412384;25/01/2016;1.9
St-Joseph;97412384;26/01/2016;1.5
St-Joseph;97412384;27/01/2016;2.8
St-Joseph;97412384;28/01/2016;1.9
St-Joseph;97412384;29/01/2016;1.9
St-Joseph;97412384;30/01/2016;1.5
St-Joseph;97412384;31/01/2016;1.8
St-Joseph;97412384;01/02/2016;1.8
St-Joseph;97412384;02/02/2016;2.4
St-Joseph;97412384;03/02/2016;3.5
St-Joseph;97412384;04/02/2016;3.9
St-Joseph;97412384;05/02/2016;1.5
St-Joseph;97412384;06/02/2016;3.2
St-Joseph;97412384;07/02/2016;3.6
St-Joseph;97412384;08/02/2016;5.2
St-Joseph;97412384;09/02/2016;0.2
St-Joseph;97412384;10/02/2016;0.2
St-Joseph;97412384;11/02/2016;1.1
St-Joseph;97412384;12/02/2016;0.4
St-Joseph;97412384;13/02/2016;0.6
St-Joseph;97412384;14/02/2016;1.7
St-Joseph;97412384;15/02/2016;2.8
St-Joseph;97412384;16/02/2016;2.3
St-Joseph;97412384;17/02/2016;0.5
St-Joseph;97412384;18/02/2016;0.1
St-Joseph;97412384;19/02/2016;0.3
St-Joseph;97412384;20/02/2016;0.3
St-Joseph;97412384;21/02/2016;0.5
St-Joseph;97412384;22/02/2016;0.4
St-Joseph;97412384;23/02/2016;0.5
St-Joseph;97412384;24/02/2016;0.4
St-Joseph;97412384;25/02/2016;1.8
St-Joseph;97412384;26/02/2016;1.5
St-Joseph;97412384;27/02/2016;0.4
St-Joseph;97412384;28/02/2016;1.4
St-Joseph;97412384;29/02/2016;1.5
St-Joseph;97412384;01/03/2016;2.8
St-Joseph;97412384;02/03/2016;3.2
St-Joseph;97412384;03/03/2016;1.5
St-Joseph;97412384;04/03/2016;3.7
St-Joseph;97412384;05/03/2016;1.7
St-Joseph;97412384;06/03/2016;2.2
St-Joseph;97412384;07/03/2016;2.4
St-Joseph;97412384;08/03/2016;4.0
St-Joseph;97412384;09/03/2016;2.9
St-Joseph;97412384;10/03/2016;1.8
St-Joseph;97412384;11/03/2016;2.6
St-Joseph;97412384;12/03/2016;1.5
St-Joseph;97412384;13/03/2016;0.8
St-Joseph;97412384;14/03/2016;0.3
St-Joseph;97412384;15/03/2016;0.3
St-Joseph;97412384;16/03/2016;0.3
St-Joseph;97412384;17/03/2016;0.2
St-Joseph;97412384;18/03/2016;0.3
St-Joseph;97412384;19/03/2016;0.6
St-Joseph;97412384;20/03/2016;1.7
St-Joseph;97412384;21/03/2016;1.0
St-Joseph;97412384;22/03/2016;0.8
St-Joseph;97412384;23/03/2016;0.7
St-Joseph;97412384;24/03/2016;0.2
St-Joseph;97412384;25/03/2016;0.7
St-Joseph;97412384;26/03/2016;0.9
St-Joseph;97412384;27/03/2016;1.3
St-Joseph;97412384;28/03/2016;3.0
St-Joseph;97412384;29/03/2016;1.9
St-Joseph;97412384;30/03/2016;2.5
St-Joseph;97412384;31/03/2016;2.7
St-Joseph;97412384;01/04/2016;3.8
St-Joseph;97412384;02/04/2016;3.9
St-Joseph;97412384;03/04/2016;2.0
St-Joseph;97412384;04/04/2016;1.3
St-Joseph;97412384;05/04/2016;1.2
St-Joseph;97412384;06/04/2016;2.4
St-Joseph;97412384;07/04/2016;0.8
St-Joseph;97412384;08/04/2016;0.5
St-Joseph;97412384;09/04/2016;0.6
St-Joseph;97412384;10/04/2016;0.8
St-Joseph;97412384;11/04/2016;1.5
St-Joseph;97412384;12/04/2016;2.6
St-Joseph;97412384;13/04/2016;3.9
St-Joseph;97412384;14/04/2016;4.3
St-Joseph;97412384;15/04/2016;4.4
St-Joseph;97412384;16/04/2016;4.4
St-Joseph;97412384;17/04/2016;4.8
St-Joseph;97412384;18/04/2016;2.5
St-Joseph;97412384;19/04/2016;1.4
St-Joseph;97412384;20/04/2016;0.3
St-Joseph;97412384;21/04/2016;1.15
St-Joseph;97412384;22/04/2016;2.0
St-Joseph;97412384;23/04/2016;3.7
St-Joseph;97412384;24/04/2016;2.2
St-Joseph;97412384;25/04/2016;1.0
St-Joseph;97412384;26/04/2016;0.9
St-Joseph;97412384;27/04/2016;0.7
St-Joseph;97412384;28/04/2016;0.3
St-Joseph;97412384;29/04/2016;1.2
St-Joseph;97412384;30/04/2016;0.9
St-Joseph;97412384;01/05/2016;0.2
St-Joseph;97412384;02/05/2016;0.1
St-Joseph;97412384;03/05/2016;0.4
St-Joseph;97412384;04/05/2016;0.1
St-Joseph;97412384;05/05/2016;0.5
St-Joseph;97412384;06/05/2016;0.2
St-Joseph;97412384;07/05/2016;1.0
St-Joseph;97412384;08/05/2016;0.5
St-Joseph;97412384;09/05/2016;1.5
St-Joseph;97412384;10/05/2016;4.0
St-Joseph;97412384;11/05/2016;3.8
St-Joseph;97412384;12/05/2016;3.7
St-Joseph;97412384;13/05/2016;3.6
St-Joseph;97412384;14/05/2016;3.7
St-Joseph;97412384;15/05/2016;3.25
